Pytanie;Poprawna_odpowiedz;Wyjaśnienie
"Członkowie drużyny Kata muszą nosić ten sam typ Karate Gi";0;"2.2.2 Nie ma wymagania, aby członkowie Drużyny nosili tą samą markę Karate-gi."
"Dopuszczalny łączny czas na wykonanie łącznej prezentacji Kata i BUNKAI wynosi sześć minut";0;"3.5.7 Całkowity dozwolony czas na prezentację Kata i Bunkai wynosi 5 minut."
"W konkurencji Kata są dopuszczalne niewielkie zmiany w Kata, zgodnie z nauczaniem stylu (Ryu-ha) zawodnika";1;"5.3.2 Będą dozwolone niewielkie różnice jak nauczane w stylu Karate Zawodnika (Ryu-Ha)"
"Okulary są zabronione w konkurencji Kata.";1;"2.2.4 Okulary są zabronione. Miękkie soczewki kontaktowe mogą być noszone na własne ryzykoZawodnika."
"Jest dozwolona tylko jedna dyskretna gumka na włosach upiętych w koński ogon.";0;"2.2.19 Wsuwki do włosów są zabronione, podobnie jak metalowe spinki do włosów. Wstążki, koraliki i inne ozdoby są zabronione. Dozwolona jest jedna lub dwie dyskretne gumki na włosach spiętych w koński ogon."
"Prawo do rozstawienia nie zstępuje na niższe miejsca w przypadku nieobecności Zawodników, którym przysługuje rozstawienie.";1;"3.4.2 W przypadku nieobecności zawodnika z miejsca 1-4 z rankingu, rozstawienie nie przechodzi na kolejnych zawodników"
"Konkurencja Kata może być organizowana w kilku formatach.";1;"3.3.1 Konkurencje Kata można zorganizować w różnych formatach:"
"We wszystkich formatach konkurencji liczba Zawodników nie może przekroczyć 8.";0;"3.7.10 Poniższa tabela przedstawia podział na grupy od 32 do 3 Zawodników"
"Sędziowie powinni zwracać uwagę na prawidłowy Kihon demonstrowanej szkoły.";0;"5.6 7. Zgodność: Spójność w działaniu KIHON"
"Mecze drużynowe składają się rywalizacji pomiędzy drużynami 3 lub 4 zawodników, z których 3 rywalizuje w jednym momencie.";1;"3.5.1 Drużyny Kata składają się z 3 (zawody inne niż kategorii A) lub 3-4 Zawodników (zawodykategorii A), z których 3 rywalizuje w każdej rundzie. Gdy Drużyna składa się z 4 zawodników,w dowolnej rundzie można użyć dowolnych 3 Zawodników. Każda drużyna jest wyłącznemęska lub wyłącznie żeńska"
"Zgodność jest to spójność w wykonaniu Kihon stylu (Ryu-ha) w Kata.";0;"7. Zgodność: Konsekwencja w wykonaniu KIHON"
"Jeśli wystąpi jakakolwiek niezgodność między numerem i nazwą Kata zgłoszonego do wykonania, będzie decydować nazwa jak na oficjalnej liście Kata WKF.";0;"6.3 Jeśli wystąpi jakakolwiek niezgodność między numerem i nazwą Kata rejestrowanego dowykonania, to decydujący będzie numer, tak jak na Liście Kata."
