Pytanie;Poprawna_odpowiedz;Wyjaśnienie
"Jeśli pole walki jest na podwyższeniu dodatkowy metr do rozmiaru łącznego 3 metrów jest wymagany po wszystkich stronach.";0;"Brak informacji o tym w przepisach"
"Może być noszone jakiekolwiek nieobowiązkowe religijne nakrycie głowy";0;"2.2.17 Zawodnicy mogą nosić religijne nakrycie głowy typu aprobowanego przez WKF: czarną chustę z gładkiego materiału przykrywającą włosy, ale nie szyję i gardło"
"Bluza Karate-Gi musi być dłuższa niż 3/4 długości uda.";0;"2.2.8. Bluza, po przewiązaniu talii pasem, musi mieć minimalną długość zakrywającą biodra, ale nie może być dłuższa niż do 3/4 uda."
"Spodnie Karate-Gi muszą przykrywać przynajmniej 2/3 długości łydki.";1;"2.2.13. Spodnie muszą być wystarczająco długie, by zakryć co najmniej 2/3 podudzia i nie mogą sięgać poniżej kostki. Nogawki spodni nie mogą być podwinięte"
"Rękaw bluzy Karate-Gi nie może być dłuższy, niż do zgięcia nadgarstka.";1;"2.2.11. Maksymalna długość rękawów bluzy nie może być dłuższa niż do zgięcia nadgarstka i nie krótsza niż do połowy przedramienia"
"Jeśli rękawy bluzy Karate-Gi zawodnika są zbyt długie i odpowiedni zamiennik nie może być znaleziony na czas, Sędzia Prowadzący może pozwolić na zawinięcie ich do wewnątrz.";0;"2.2.12. Rękawy bluzy nie mogą być podwinięte."
"Zawodniczki mogą nosić 1 lub 2 dyskretne gumki lub uchwyt dla włosów ułożonych w „koński ogon”. Wstążki, opaski i inne dekoracje są zabronione.";0;"2.2.16. Wsuwki do włosów są zabronione, podobnie jak metalowe spinki do włosów. Wstążki, koraliki i inne ozdoby są zabronione. Dozwolona jest jedna lub dwie dyskretne gumki na pojedynczym „końskim ogonie”.Hachimaki (opaska na głowę) nie będzie dozwolona"
"Kolczyki są dopuszczalne, tylko gdy są przykryte taśmą";0;"2.2.18. Zawodnicy muszą mieć krótkie paznokcie i nie mogą nosić żadnych metalowych czy innych przedmiotów, mogących spowodować kontuzję u przeciwnika. Użycie metalowych aparatów na zęby musi być zatwierdzone przez Sędziego Prowadzącego i Lekarza Zawodów. Zawodnik przyjmuje pełną odpowiedzialność za jakiekolwiek kontuzje"
"Metalowe aparaty dentystyczne mogą być noszone na własne ryzyko zawodnika, jeśli zostaną zatwierdzone przez Sędziego Prowadzącego i oficjalnego doktora.";1;"2.2.18. Użycie metalowych aparatów na zęby musi być zatwierdzone przez Sędziego Prowadzącego i Lekarza Zawodów. Zawodnik przyjmuje pełną odpowiedzialność za jakiekolwiek kontuzje."
"Zawodnicy muszą się sobie właściwie ukłonić, na początku i końcu walki.";1;"6.7. Mecz rozpoczyna się ukłonem do Sędziów i następnie Zawodnicy kłaniają się sobie. 6.10. Po ogłoszeniu zwycięzcy Zawodnicy lub Drużyny kłaniają się sobie, następnie kłaniają się Sędziom i opuszczają Tatami."
"Trener może zmienić kolejność walczącej drużyny w czasie rundy";0;"3.7.6. Kolejność walk może się zmieniać dla każdej rundy z zastrzeżeniem, że nowa kolejność jest zgłoszona przed każdą rundą, ale raz zapisana nie może już być zmieniona aż do zakończenia rundy."
"Jeśli zawodnik jest kontuzjowany w trakcie meczu indywidualnego, to Trener może wprowadzić zastępcę, jeśli wpierw powiadomi Komitet Organizacyjny.";0;""
"Każdy Sędzia Boczny musi być wyposażony w czerwoną i niebieską flagę lub elektroniczne urządzenie sygnalizujące.";1;"1.12. Każdy Sędzia Boczny będzie wyposażony w czerwoną i niebieską flagę lub elektroniczne urządzenie sygnalizacyjne."
"Jeśli dwie drużyny mają równe liczby zwycięstw i punktów, będzie rozegrana walka decydująca.";1;"12.5.2 Jeśli obie Drużyny mają taką samą liczbę zwycięstw i punktów w walkach, zostanie rozegrana decydująca walka. Każda Drużyna może wyznaczyć dowolnego Zawodnika ze swojej Drużyny do dodatkowej walki, niezależnie od tego, czy ten Zawodnik walczył już w poprzedniej walce pomiędzy tymi dwoma Drużynami."
"Kontroler meczu (KANSA) będzie wyposażony jedynie w gwizdek.";1;"1.11 Kontroler Meczu (KANSA) będzie siedział przy oficjalny stoliku. Kontroler Meczu będzie wyposażony w gwizdek."
"Dyskwalifikacja przez KIKEN oznacza, że zawodnicy są zdyskwalifikowani z danej kategorii.";1;"6.4 Wycofanie przez KIKEN oznacza dyskwalifikację Zawodników z danej kategorii, co niewpływa jednak na uczestnictwo w innej kategorii."
"Obcasy powyżej 4 cm nie mogą być noszone do stroju sędziowskiego.";1;"2.1.2 Dozwolone są następujące dodatki do stroju: Nie mogą być noszone do stroju obcasy wyższe niż 4cm"
"Walki seniorów trwają trzy minuty, a kobiet, juniorów i kadetów – dwie minuty.";0;"5.1 Czas trwania walki Kumite wynosi: a Kategorie Seniorów i Seniorek: 3 minuty efektywnego czasu b) Kategorie U21 Mężczyźni i Kobiety: 3 minuty efektywnego czasu c) Kategorie Kadeci i Juniorzy Mężczyźni i Kobiety: 2 minuty efektywnego czasu d) Kategorie U14 i U12 Chłopcy i Dziewczyny: 1.5 minuty efektywnego czasu e) Kategorie U10 i U8 Chłopcy i Dziewczyny: 1,0 minuta efektywnego czasu f) Kategorie Masters Mężczyzn i Kobiet: 2 minuty efektywnego czasu"
"Członkowie drużyny Kumite mogą nosić dowolny rodzaj Karate Gi.";0;"2.2.1 Zawodnicy muszą nosić białe Karategi do karate bez pasków, lamówek lub osobistych haftów, inne niż wyraźne dozwolone przez Zarząd PUK"
"Różne typy wyhaftowanych znaków firmowych na ramionach mogą być używane przez członków drużyny.";1;"2.2.4 Zawodnicy lub Drużyny muszą nosić czerwony (AKA) lub niebieski pas (AO), zgodnie z losowaniem, bez osobistych haftów, reklam ani innych oznaczeń niż zwyczajowy znak producenta. Podczas walki nie mogą być noszone pasy oznaczające stopień."
