Pytanie;Odp;Objasnienie
Członkowie drużyny Kata muszą nosić ten sam typ Karate Gi;F;2.2.2 Nie ma wymagania, aby członkowie Drużyny nosili tą samą markę Karate-gi.
Dopuszczalny łączny czas na wykonanie łącznej prezentacji Kata i BUNKAI wynosi sześć minut;F;3.5.7 Całkowity dozwolony czas na prezentację Kata i Bunkai wynosi 5 minut.
W konkurencji Kata są dopuszczalne niewielkie zmiany w Kata, zgodnie z nauczaniem stylu (Ryu-ha) zawodnika;P;5.3.2 Będą dozwolone niewielkie różnice jak nauczane w stylu Karate Zawodnika (Ryu-Ha)
Okulary są zabronione w konkurencji Kata.;P;"2.2.4 Okulary są zabronione. Miękkie soczewki kontaktowe mogą być noszone na własne ryzyko Zawodnika."
Jest dozwolona tylko jedna dyskretna gumka na włosach upiętych w „koński ogon”.;F;2.2.19 Wsuwki do włosów są zabronione, podobnie jak metalowe spinki do włosów. Wstążki, koraliki i inne ozdoby są zabronione. Dozwolona jest jedna lub dwie dyskretne gumki na włosach spiętych w koński ogon.
Prawo do rozstawienia nie zstępuje na niższe miejsca w przypadku nieobecności Zawodników, którym przysługuje rozstawienie.;F; 
Konkurencja Kata może być organizowana w kilku formatach.;P;3.3.1 Konkurencje Kata można zorganizować w różnych formatach:
We wszystkich formatach konkurencji liczba Zawodników nie może przekroczyć 8.;F; 
Sędziowie powinni zwracać uwagę na prawidłowy Kihon demonstrowanej szkoły.;F;5.3.2 Będą dozwolone niewielkie różnice jak nauczane w stylu Karate Zawodnika (Ryu-Ha).
Mecze drużynowe składają się rywalizacji pomiędzy drużynami 3 lub 4 zawodników, z których 3 rywalizuje w jednym momencie.;P;"3.5.1 Drużyny Kata składają się z 3 (zawody inne niż kategorii A) lub 3-4 Zawodników (zawody kategorii A), z których 3 rywalizuje w każdej rundzie. Gdy Drużyna składa się z 4 zawodników, w dowolnej rundzie można użyć dowolnych 3 Zawodników. Każda drużyna jest wyłączne męska lub wyłącznie żeńska"
Zgodność jest to spójność w wykonaniu Kihon stylu (Ryu-ha) w Kata.;P;7. Zgodność: Konsekwencja w wykonaniu KIHON
Jeśli wystąpi jakakolwiek niezgodność między numerem i nazwą Kata zgłoszonego do wykonania, będzie decydować nazwa jak na oficjalnej liście Kata WKF.;F;"6.3 Jeśli wystąpi jakakolwiek niezgodność między numerem i nazwą Kata rejestrowanego do wykonania, to decydujący będzie numer, tak jak na Liście Kata."
Kiedy drużyna ma 4 Zawodników, wszyscy 4 mogą być użyci do każdej rundy.;F;3.5.1 Drużyny Kata składają się z 3 (zawody inne niż kategorii A) lub 3-4 Zawodników (zawody kategorii A), z których 3 rywalizuje w każdej rundzie. Gdy Drużyna składa się z 4 zawodników, w dowolnej rundzie można użyć dowolnych 3 Zawodników. Każda drużyna jest wyłączne męska lub wyłącznie żeńska.
Dawanie komendy do rozpoczęcia i zakończenia Kata przez członka drużyny nie jest uważane za zewnętrzną wskazówkę.;F;"5.7.5 Użycie sygnałów dźwiękowych (od dowolnej innej osoby, w tym innych członków zespołu) lub teatralnych, takich jak tupanie nogami, uderzanie w klatkę piersiową, ramiona lub Karategi lub niewłaściwe oddychanie, musi być uznane przez Sędziów za bardzo poważne faule w ich ocenie wykonania Kata – na takim samym poziomie, na jakim karano by za chwilową utratę równowagi."
Maty muszą tworzyć powierzchnię jednolitego koloru w konkurencji Kata.;P;"1.1 Pole walki będzie kwadratem ułożonym z mat o bokach równych 8 metrów (mierzonych z zewnątrz), z matami w kolorze innym niż reszta mat na zewnętrznym jednometrowym obszarze, wyznaczającym granicę."
Sędziowie powinni zwracać uwagę na prawidłowy Kihon demonstrowanego stylu (Ryu-ha) zawodnika;F;5.3.2 Będą dozwolone niewielkie różnice jak nauczane w stylu Karate Zawodnika (Ryu-Ha).
